idCAT,layers,styler,bbox,anio,autor,urlgeoportal,urldescargazip
5561AVES,fni071dpgw,dp_01g,"-85.4922103881836,1.85037696361542,-76.8222045898438,11.0103778839111",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=fni071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fni071dpgw.zip
5561AVES,fru071dpgw,dp_01g,"-85.4922103881836,7.52347373962402,-77.2022018432617,11.0034742355347",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=fru071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fru071dpgw.zip
5764AVES,fco071dpgw,dp_01g,"-80.2071151733398,7.3397045135498,-77.2271041870117,9.54970550537109",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=fco071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fco071dpgw.zip
14216AVES,fcy018dpagw,dp_01v,"-109.802871704102,19.6427345275879,-103.511199951172,28.40940284729",2015,Monterrubio-Rico y Charre-Medellín,http://geoportal.conabio.gob.mx/#!l=fcy018dpagw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fcy018dpagw.zip
14216AVES,fcy071dpgw,dp_01g,"-109.877143859863,17.930736541748,-102.017135620117,28.8607387542725",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=fcy071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fcy071dpgw.zip
14216AVES,forp_cyangw,poly_conabio_conabio_1p,"-109.983229,19.02136,-102.633229,29.14136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=forp_cyangw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/forp_cyangw.zip
14216AVES,fcy018dphgw,dp_01v,"-109.813140869141,18.9439353942871,-102.479797363281,29.5439376831055",2015,Monterrubio-Rico y Charre-Medellín,http://geoportal.conabio.gob.mx/#!l=fcy018dphgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fcy018dphgw.zip
26464ANGIO,fsp052dpgw,dp_01g,"-106.87499999992,5.3333333336853,-72.1666666664677,23.9583333337494",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fsp052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fsp052dpgw.zip
36382ANGIO,fco002dpgw,dp_01g,"-117.741683959961,20.9699993133545,-102.208961486816,33.5028343200684",2018,Dávila-Aranda et al.,http://geoportal.conabio.gob.mx/#!l=fco002dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fco002dpgw.zip
36252ANGIO,ffo002dpgw,dp_01g,"-106.972465515137,14.5661697387695,-90.3647842407227,24.4657745361328",2018,Dávila-Aranda et al.,http://geoportal.conabio.gob.mx/#!l=ffo002dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/ffo002dpgw.zip
36253ANGIO,fle002dpgw,dp_01g,"-105.692077636719,14.5661697387695,-90.3676834106445,20.8825855255127",2018,Dávila-Aranda et al.,http://geoportal.conabio.gob.mx/#!l=fle002dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fle002dpgw.zip
28282ANGIO,fma002dpgw,dp_01g,"-117.741683959961,20.9699993133545,-102.208961486816,33.5028343200684",2018,Dávila-Aranda et al.,http://geoportal.conabio.gob.mx/#!l=fma002dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fma002dpgw.zip
28282ANGIO,fmac052dpgw,dp_01g,"-112.666666666509,22.4166666667252,-104.916666666409,34.1666666668768",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fmac052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fmac052dpgw.zip
28283ANGIO,fsh002dpgw,dp_01g,"-109.540000915527,20.8399982452393,-97.140495300293,33.4978294372559",2018,Dávila-Aranda et al.,http://geoportal.conabio.gob.mx/#!l=fsh002dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fsh002dpgw.zip
28284ANGIO,fspl052dpgw,dp_01g,"-117.833333333243,20.2083333334021,-98.6249999996615,37.0000000002853",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fspl052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fspl052dpgw.zip
30210ANGIO,fdu002dpgw,dp_01g,"-105.262886047363,14.5661697387695,-90.3718032836914,29.8738918304443",2018,Dávila-Aranda et al.,http://geoportal.conabio.gob.mx/#!l=fdu002dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fdu002dpgw.zip
